City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Talnakh,RU,69.4865,88.3972,4.21,92,40,5.73,scattered clouds
1,Bluff,NZ,-46.6,168.3333,60.64,84,20,14.74,few clouds
2,Beloha,MG,-25.1667,45.05,79.05,49,2,15.52,clear sky
3,Klaksvik,FO,62.2266,-6.589,45.52,92,79,20.0,broken clouds
4,Nanortalik,GL,60.1432,-45.2371,11.25,73,0,6.17,clear sky
5,Kapaa,US,22.0752,-159.319,76.98,94,100,8.05,overcast clouds
6,East London,ZA,-33.0153,27.9116,70.74,88,0,4.61,clear sky
7,Izumo,JP,35.3667,132.7667,53.55,58,75,12.66,broken clouds
8,Alofi,NU,-19.0595,-169.9187,78.69,83,75,11.5,broken clouds
9,Monkey Bay,MW,-14.0728,34.9201,73.38,80,86,14.34,overcast clouds
10,Bengkulu,ID,-3.8004,102.2655,85.21,61,100,8.01,overcast clouds
11,Busselton,AU,-33.65,115.3333,77.94,38,0,8.05,clear sky
12,Tiksi,RU,71.6872,128.8694,0.28,91,41,5.75,scattered clouds
13,Kalispell,US,48.1958,-114.3129,36.77,59,100,4.61,overcast clouds
14,Rikitea,PF,-23.1203,-134.9692,79.84,73,1,14.16,clear sky
15,Albany,US,42.6001,-73.9662,39.61,81,24,10.0,few clouds
16,Matay,EG,28.419,30.7792,58.15,46,88,18.21,overcast clouds
17,Castro,BR,-24.7911,-50.0119,57.51,90,100,7.14,overcast clouds
18,Hambantota,LK,6.1241,81.1185,91.74,66,40,6.91,scattered clouds
19,Andenes,NO,69.3143,16.1194,42.78,75,75,29.93,light rain
20,Mataura,NZ,-46.1927,168.8643,60.98,71,16,5.75,few clouds
21,Wanxian,CN,30.8039,108.3897,52.86,91,100,5.55,overcast clouds
22,Beitbridge,ZW,-22.2167,30.0,71.44,59,8,14.25,clear sky
23,Kirakira,SB,-10.4544,161.9205,82.87,71,35,3.83,scattered clouds
24,Georgetown,MY,5.4112,100.3354,85.98,66,20,5.01,few clouds
25,Severo-Kurilsk,RU,50.6789,156.125,29.5,92,100,40.47,snow
26,Bethel,US,41.3712,-73.414,45.93,71,100,5.99,overcast clouds
27,Ushuaia,AR,-54.8,-68.3,46.06,87,20,4.61,few clouds
28,Akdepe,TM,42.0551,59.3788,44.87,31,5,1.19,clear sky
29,Tasiilaq,GL,65.6145,-37.6368,5.16,63,8,6.35,clear sky
30,Dunedin,NZ,-45.8742,170.5036,59.81,91,100,5.99,overcast clouds
31,Hobart,AU,-42.8794,147.3294,74.23,68,75,10.36,broken clouds
32,Sitka,US,57.0531,-135.33,42.69,61,100,16.11,overcast clouds
33,Hun,LY,29.1268,15.9477,51.3,68,97,12.97,overcast clouds
34,Zhezkazgan,KZ,47.8043,67.7144,22.98,42,0,15.66,clear sky
35,Tumut,AU,-35.3,148.2167,82.72,35,24,7.07,few clouds
36,Geraldton,AU,-28.7667,114.6,79.21,57,0,23.02,clear sky
37,Tricase,IT,39.9304,18.3553,40.93,65,0,4.61,clear sky
38,Chuy,UY,-33.6971,-53.4616,63.55,54,100,11.23,overcast clouds
39,Laguna,US,38.421,-121.4238,55.69,63,0,3.44,clear sky
40,Maceio,BR,-9.6658,-35.7353,76.44,94,75,3.44,broken clouds
41,Sungairaya,ID,0.7,108.9,86.95,65,85,5.7,overcast clouds
42,Lompoc,US,34.6391,-120.4579,52.7,86,0,9.22,mist
43,Srandakan,ID,-7.9386,110.2506,85.66,70,100,14.23,overcast clouds
44,Cuamba,MZ,-14.8031,36.5372,73.51,75,49,5.32,scattered clouds
45,Butaritari,KI,3.0707,172.7902,81.43,79,33,17.49,scattered clouds
46,Udachnyy,RU,66.4167,112.4,19.45,67,91,4.5,overcast clouds
47,Xichang,CN,27.8964,102.2634,84.52,19,1,13.73,clear sky
48,Kutum,SD,14.2,24.6667,74.61,5,0,6.98,clear sky
49,Jamestown,US,42.097,-79.2353,38.84,53,0,9.22,clear sky
50,Dikson,RU,73.5069,80.5464,-2.16,97,63,8.21,broken clouds
51,Khabary,RU,53.6259,79.5345,16.92,89,100,17.45,overcast clouds
52,Kabinda,CD,-6.1333,24.4833,74.32,82,97,2.3,light rain
53,Nikolskoye,RU,59.7035,30.7861,38.88,91,68,5.17,broken clouds
54,Lodwar,KE,3.1191,35.5973,90.1,38,2,21.79,clear sky
55,Bredasdorp,ZA,-34.5322,20.0403,71.11,74,11,10.6,few clouds
56,Dingle,PH,10.9995,122.6711,88.11,60,100,13.06,overcast clouds
57,Kahului,US,20.8947,-156.47,73.85,84,75,11.5,broken clouds
58,Kaitangata,NZ,-46.2817,169.8464,58.05,94,24,12.06,few clouds
59,Saint-Philippe,RE,-21.3585,55.7679,82.11,88,99,11.83,light rain
60,Torbay,CA,47.6666,-52.7314,32.29,96,100,25.32,mist
61,Masallatah,LY,32.6167,14.0,52.57,63,91,17.07,overcast clouds
62,Port Elizabeth,ZA,-33.918,25.5701,73.31,87,40,3.44,scattered clouds
63,Sinnamary,GF,5.3833,-52.95,75.99,85,99,11.48,overcast clouds
64,Cape Town,ZA,-33.9258,18.4232,68.11,83,0,9.22,clear sky
65,Mapulot,PH,14.0339,122.5408,88.47,60,56,6.49,light rain
66,Ilovlya,RU,49.3033,43.9796,32.94,99,100,10.11,overcast clouds
67,Lebanon,US,36.2081,-86.2911,51.46,78,75,0.0,broken clouds
68,Bubaque,GW,11.2833,-15.8333,74.86,66,100,8.01,overcast clouds
69,College,US,64.8569,-147.8028,8.55,54,0,9.22,clear sky
70,Saint-Joseph,RE,-21.3667,55.6167,81.1,84,91,13.33,light rain
71,Ribeira Grande,PT,38.5167,-28.7,56.41,65,100,27.72,overcast clouds
72,Ryotsu,JP,38.0833,138.4333,41.45,59,97,4.12,overcast clouds
73,Bani,DO,18.2833,-70.3333,76.86,84,15,8.21,few clouds
74,Atuona,PF,-9.8,-139.0333,78.93,80,72,17.34,light rain
75,Saskylakh,RU,71.9167,114.0833,11.93,93,100,1.12,overcast clouds
76,Namibe,AO,-15.1961,12.1522,74.48,75,95,0.69,overcast clouds
77,Puerto Ayora,EC,-0.7393,-90.3518,74.55,100,14,2.35,few clouds
78,Souillac,MU,-20.5167,57.5167,79.18,94,75,11.5,thunderstorm with light rain
79,Khatanga,RU,71.9667,102.5,6.46,92,100,7.9,overcast clouds
80,Iquitos,PE,-3.7481,-73.2472,75.24,100,75,0.0,broken clouds
